key_resp.corr,key_resp.rt,,,,,1,0.5558152,,1,0.0280812,,,,0.5558152,0.0280812
1,0.6224839,,,,,,,,,,,,,,
1,0.5582286,,,,,,,,,,,,,,
1,1.5668642,,,,,,,,,,,,,,
1,0.4451694,,,,,,,,,,,,,,
1,0.9021932,,,,,,,,,,,,,,
1,2.0614089,,,,,,,,,,,,,,
1,0.5493442,,,,,,,,,,,,,,
1,0.5381632,,,,,,,,,,,,,,
1,0.4861474,,,,,,,,,,,,,,
1,0.3709584,,,,,,,,,,,,,,
1,0.8391006,,,,,,,,,,,,,,
1,0.8226912,,,,,,,,,,,,,,
1,2.2959855,,,,,,,,,,,,,,
1,0.497441,,,,,,,,,,,,,,
1,1.4092718,,,,,,,,,,,,,,
1,0.4326746,,,,,,,,,,,,,,
1,1.0023355,,,,,,,,,,,,,,
1,0.6214324,,,,,,,,,,,,,,
1,1.0423833,,,,,,,,,,,,,,
1,0.7801907,,,,,,,,,,,,,,
1,0.5801754,,,,,,,,,,,,,,
0,3.5857343,,,,,,,,,,,,,,
1,1.0362461,,,,,,,,,,,,,,
1,0.6246804,,,,,,,,,,,,,,
1,0.9864585,,,,,,,,,,,,,,
1,0.7339997,,,,,,,,,,,,,,
1,0.3262917,,,,,,,,,,,,,,
1,0.4784028,,,,,,,,,,,,,,
1,0.4657251,,,,,,,,,,,,,,
1,0.352834,,,,,,,,,,,,,,
1,0.4732175,,,,,,,,,,,,,,
1,0.4901193,,,,,,,,,,,,,,
1,0.552691,,,,,,,,,,,,,,
1,0.5727719,,,,,,,,,,,,,,
1,0.4508764,,,,,,,,,,,,,,
1,0.7267513,,,,,,,,,,,,,,
1,0.9452795,,,,,,,,,,,,,,
1,2.5353634,,,,,,,,,,,,,,
1,0.9359324,,,,,,,,,,,,,,
1,0.8132456,,,,,,,,,,,,,,
1,1.0985032,,,,,,,,,,,,,,
1,0.6538404,,,,,,,,,,,,,,
1,0.527743,,,,,,,,,,,,,,
1,1.5262509,,,,,,,,,,,,,,
1,0.5836732,,,,,,,,,,,,,,
1,0.7333583,,,,,,,,,,,,,,
1,0.4163419,,,,,,,,,,,,,,
1,0.5922195,,,,,,,,,,,,,,
1,0.8946171,,,,,,,,,,,,,,
1,0.4165645,,,,,,,,,,,,,,
1,0.4889008,,,,,,,,,,,,,,
1,0.6725805,,,,,,,,,,,,,,
1,0.5606398,,,,,,,,,,,,,,
1,0.6920569,,,,,,,,,,,,,,
1,0.6470739,,,,,,,,,,,,,,
1,0.6146162,,,,,,,,,,,,,,
1,0.5176133,,,,,,,,,,,,,,
1,0.4724977,,,,,,,,,,,,,,
0,1.2333873,,,,,,,,,,,,,,
1,0.5681783,,,,,,,,,,,,,,
1,0.4413056,,,,,,,,,,,,,,
0,0.93906,,,,,,,,,,,,,,
1,0.3405808,,,,,,,,,,,,,,
1,0.7785271,,,,,,,,,,,,,,
1,0.6811514,,,,,,,,,,,,,,
1,1.1354425,,,,,,,,,,,,,,
1,3.2599743,,,,,,,,,,,,,,
1,0.7165891,,,,,,,,,,,,,,
1,0.9226636,,,,,,,,,,,,,,
1,0.5271847,,,,,,,,,,,,,,
1,1.4066421,,,,,,,,,,,,,,
1,0.4586979,,,,,,,,,,,,,,
1,1.2320139,,,,,,,,,,,,,,
1,0.5011744,,,,,,,,,,,,,,
1,0.7826024,,,,,,,,,,,,,,
1,0.8233331,,,,,,,,,,,,,,
1,0.7005623,,,,,,,,,,,,,,
1,0.4341326,,,,,,,,,,,,,,
1,0.4843266,,,,,,,,,,,,,,
1,0.3223466,,,,,,,,,,,,,,
1,0.4842225,,,,,,,,,,,,,,
1,2.1976714,,,,,,,,,,,,,,
1,0.5733668,,,,,,,,,,,,,,
1,0.7448726,,,,,,,,,,,,,,
1,0.5743455,,,,,,,,,,,,,,
1,0.6278567,,,,,,,,,,,,,,
1,0.6089823,,,,,,,,,,,,,,
1,0.5348729,,,,,,,,,,,,,,
1,0.8246345,,,,,,,,,,,,,,
1,0.6324026,,,,,,,,,,,,,,
1,0.6050622,,,,,,,,,,,,,,
1,1.41899,,,,,,,,,,,,,,
1,0.6856947,,,,,,,,,,,,,,
1,2.2882653,,,,,,,,,,,,,,
1,1.842824,,,,,,,,,,,,,,
1,0.5251088,,,,,,,,,,,,,,
1,0.4847311,,,,,,,,,,,,,,
1,0.548421,,,,,,,,,,,,,,
1,0.4461822,,,,,,,,,,,,,,
1,0.7143058,,,,,,,,,,,,,,
1,1.1560179,,,,,,,,,,,,,,
1,0.4923181,,,,,,,,,,,,,,
1,0.6170048,,,,,,,,,,,,,,
1,0.7872883,,,,,,,,,,,,,,
1,0.5842167,,,,,,,,,,,,,,
1,0.5278684,,,,,,,,,,,,,,
1,0.7173197,,,,,,,,,,,,,,
